text,actual,predicted
"When you think about messaging, if we've already made the transition in a big way to feed, if we are starting to see real success in Stories, messaging is in a much earlier stage.",claim,premise
"If you look at iPhone 6 today, and add iPhone 6 Plus and compare that to last year’s 5s we are doing better, at that price point than we were previously.",claim,claim
That's the kind of mission based work that we're happy about,claim,claim
"So GDPR didn't have a significant impact in Q2, partially because of its implementation date.",claim,claim
"The consumer value, especially now that we have even all the endpoints covered with Office, the definition of Office and where all it's present is also changed, and that all accrues to consumers being willing to have a subscription relationship with us.",premise,claim
"You are seeing us take other steps like a buy button, like the Marketplace launch, which are really aimed at improving some of the experiences we think people are trying to have and already having in organic ways on Facebook.",premise,premise
"So we feel very good about the gross margins that we’ve generated in the March quarter, and we feel very good about the guidance that we provided, given the severity of the impact.",claim,claim
"So, we believe that there needs to be a regulatory framework in place for each of the major issues that I just talked about.",claim,claim
So it is a little bit higher due to that program.,claim,claim
"Produce publishers, the thing that I'm excited about is, look, I do think that we have a responsibility to help work with newest publishers to fund high quality journalism.",claim,claim
"And so even though we were reporting a similar year-over-year growth for Greater China, if you change that reporting to an average weekly sales, which probably is much better way to look at it, there was actually a really nice acceleration.",claim,claim
"And to give you a little additional insight, through the end of the quarter, in fact the Apple Watch sell-through was higher than the comparable launch periods of the original iPhone or the original iPad.",premise,claim
"From the perspective of hiring growth, I'd really point to the fact that we've been consistently accelerating hiring so far in 2017, and I pointed to the fact that we expect to accelerate hiring in the back half of the year as well.",claim,claim
We design a great product and we make it priced at a great value.,claim,claim
"As you know, we just started shipping those in late June, but we're very excited about the potential and the addition of the video screen and the messaging capability and video capability.",premise,premise
And we continue to bring more and more forms of payment in the App Store around the world.,premise,claim
These are upgrade any time kind of plans.,premise,claim
And we think we'll be also developing new store formats and everything else just as we talked about in the past before Whole Foods.,premise,claim
But those impressions are coming in at lower prices than we see in feed.,premise,claim
"For example, in the fall we plan to roll out our tool for seeing and clearing your off-Facebook browsing history.",premise,claim
"I think I mean, we're continuing to -- there's a lot of focus on serving that customer set.",claim,claim
"The first is build an experience and get it to scale, to build a community that can get to hundreds of millions or 1 billion people or more.",premise,claim
We now have 10 billion messages being sent between people and businesses every month.,premise,claim
"Their video is making a big contribution to time spent growth, but we are not providing a specific stat on time spent growth on an ongoing basis.",premise,claim
So it’s good for everyone but that’s how we think about that.,claim,claim
The movement between the two are important.,claim,claim
"So to share one example, IKEA wanted to boost their online sales when their stores were closed.",premise,premise
"It's just having that experience readily available in your pocket is tremendous, and we just see that being helpful across the business as it relates to mobile engagement.",premise,claim
"Let me take that first question on Prime Air in the UK, we've been working with and developing Prime Air for some time to develop a rapid delivery system that is safe, environmentally sound and it really enhances the services that we provide for millions of customers.",premise,claim
So we feel pretty good about also the guidance for the fourth quarter.,claim,claim
"We’re still expecting to continue to invest aggressively in the business, and that will have an impact on operating margins.",claim,claim
"It's much better for us, for example, to add capabilities.",premise,claim
"And I also just think that going forward, we're going to be investing in these things at a much higher level because we realize that this is important, not only for our community and this company, but it's part of our responsibility to society overall.",claim,claim
"I think, AR has the ability to amplify human performance instead of isolating humans.",premise,claim
"Every time we go through a launch, we learn something.",claim,premise
"Of course, there's always going to be some level of cannibalization.",premise,claim
"So, very pleased with the initial progress.",claim,claim
And that is exactly what happened in our actual results.,premise,claim
The impact without hedges would be higher.,claim,claim
"So, my confidence for FY19 in that number being the double digits we talked about in the full year guide, only gets raised by seeing that execution.",claim,claim
"Now that may be possible because there's high, high, high engagement in Stories.",premise,claim
"So physical stores decreased 3% year-over-year and this is primarily Whole Foods, but also includes our other stores, the Amazon Books stores, Amazon Go, Amazon 4 star.",premise,premise
"I would say it's just a demonstration of the very tight period where we – we've still added a lot, I mean, $4.6 billion is a lot of capital leases, but the rate of growth over last year is flat.",premise,claim
"Our guidance, really, in terms of overall capital spend is unchanged from 90 days ago even if the timing of that can move month-to-month.",claim,claim
"Similarly on Talent, they want to be able to – if you start on LinkedIn with hiring, you want to be able to do the on-boarding and talent management.",premise,claim
We've had circumstances around the world this year where frankly we didn't have many options because the currency movement was so large and so we've had to reprice.,premise,claim
"But if you're a professional publisher, you need to have the ability to share a version of the content that you're producing that you're proud of, that can load quickly, that can be as rich as the tools enable people to see, and we're working on a lot of different tools for that.",premise,claim
So everyone is very sharp on their pricing and is very eager to lock up long-term commitments from AWS customers.,premise,claim
"I think that there's a misunderstanding probably particularly in the Western world about China's economy, which contributes to the confusion.",premise,claim
I feel really great about it.,claim,claim
"There is no doubt that we had a unbelievable year last year and the Q2 was particularly really, really strong",claim,claim
"In terms of what we're seeing as opportunities, I mean, we continue to see good growth opportunities for revenue across both Facebook and Instagram, including both feed and Stories.",claim,claim
And so to us it's sort of within the range and it’s basically when we thought.,claim,premise
"So if you look at what the initial use cases are going to be around that, I think it's a lot of the stuff that you hear people talking about.",premise,claim
So we are really happy with what that's doing for third-party business.,claim,claim
And we're very optimistic that this too shall pass and that the market and particularly us will grow again.,claim,claim
We want to make sure we get the safety implications of that right.,premise,premise
"I actually think over the next couple of years or few years, the much bigger driver of the business and determinant of how we do is going to be video, not Messenger.",claim,claim
"And so even with some of that benefit of the durable trends, plus I think a more temporal one of end of support, I do expect to see a deceleration in that number in Q4.",claim,claim
"And we're a company that generates two thirds of our revenues outside the United States, 15% appreciation of the U.S. dollar.",premise,claim
And they're just doing an amazing job.,claim,claim
"But at the same time, one of the things that customers are looking for is making an enterprise-wide architectural decision across all of the workloads.",premise,claim
"There is a second experience called Video Home, which we started talking about earlier in the year.",claim,premise
"Video is exploding on Facebook, as Mark talked about, and that gives us an opportunity to do a lot of work with marketers on video.",premise,claim
"So last quarter, I told you that our growth in store sales, including both shopping and also online deliveries, was closer to 6% in Q4, and it's a similar number in Q1.",premise,claim
"And, but I think for us, the thing that we always have to do is come out with a really great innovative product, and I think that iPhone X shows that when you deliver a great innovative product, there's enough people there that would like that and it can be a really good business, and so that's how to look at that.",claim,claim
"And like Brian said, we like to be close to customers and benefit from having inventory close to customers as well.",claim,claim
"But in general, if I step back, our investments in national are twofold.",claim,claim
"When they were using a combination of Facebook, Instagram, and the Audience Network, they saw 57% lower cost per install with placement optimization and 59% more volume versus running on Facebook alone, which led to 6% incremental revenue.",premise,claim
"because we know that over time, it may be not just PaaS services in Azure, it could be in fact a Dynamics 365 module.",premise,premise
"I think the sponsor products was a very inventive move for us, and I think that is having some really good impact on advertising growth.",claim,claim
We put a lot of energy on AR removing very fast.,claim,claim
So we continue to build the underpinnings of the Prime program in our international countries.,claim,claim
"Even on that -- our own demand for it, we don't see any change.",claim,claim
So it's that combination of things going from knowledge workers to first-line going and the ability to reach all sizes of businesses is what's going to continue to help us I think have overall seat growth or socket growth.,claim,claim
"And the LTE adoption continues to rise there, but it's got a long way ahead of it.",premise,claim
The workload that we're furthest along on is obviously exchange.,premise,claim
"In fact as I said, a lot of the Azure use case, I think you referenced this, have been non-zero-sum",claim,claim
We’re seeing a bunch of that candidates for president get on Facebook themselves and interact taking questions from their potential voters directly.,premise,premise
The other is the move to gross versus net accounting on the Instant Articles product.,premise,claim
"We’re also working beyond India, in a number of other countries and hope to have this rolled out to a large percentage of the people who use WhatsApp within the next year.",claim,claim
And so I'd say that was largely within the range of expectations that we saw and it is having an impact and the people who are opting out are seeing less relevant ads.,claim,claim
there were some clearly that were offered in the market prior to this cycle.,premise,premise
It's really as we talked about transactional weakness in Productivity and Business Process.,claim,claim
"And then stay tuned, because we'll be building this - most of this capacity through the year in 2019.",claim,claim
"And so it's very large and to the best of our knowledge, we've shipped more assistant enabled devices than probably anyone out there.",premise,claim
"In fact, I'm very excited about some of the new workloads.",claim,claim
"And I mentioned this before that 99% of the ISIS and Al Qaeda related content that we take down, we're removing before any person flags it to us.",premise,claim
You'll see that we've started to tie Whole Foods into Alexa.,premise,claim
It continued to be a strong contributor to profitability in Q1.,claim,claim
"And so some of that weakness frankly is in the non-annuity and very transactional business, which happened to impact Windows Server a bit more than other workloads.",premise,claim
We felt very good about the gross margins for the quarter.,claim,claim
"It's been in the market a while, we're seeing that momentum, the value all up of E5 not just from an Office perspective, but from a Microsoft 365 perspective with security and management as well as some of the newer products that are getting some strong adoption like Teams.",premise,claim
"So as you move Office, it’s simply the first step.",premise,claim
"So, greater control of our processes.",premise,claim
"And so it's iPhone X was number one, but we had several in the top.",premise,claim
"And on unit deceleration, I think the unit numbers more and more require some interpretation, because it doesn't include the -- some of our fastest growing areas, the things like, as Dave mentioned, subscription services, AWS, advertising, Whole Foods units are not in that number.",premise,claim
And the reason for that is it's much easier to build an AI system that can detect a nipple than it is to determine what is linguistically hate speech.,premise,claim
"I should also say most of the weakness we saw was in the standard workloads, which I think lends itself to again some of those pressures.",premise,premise
"Our engagement in video benefit - excuse me, Prime benefits, shipping, hours watched on video, hours listened to on music, all of them are trending in the right direction and continue to get more and more sticky.",claim,claim
And so we offer all of those and I don't see us deviating from that approach.,claim,claim
"The similar dynamic this year, we are going to have about 80% of our increase in square footage for fulfillment and shipping coming online in the back end of the year, so that's a major increase.",premise,claim
"So new platforms demand new measurement, and so people are measuring all kinds of different things from viewability to how many people see the ad to how long they run the ad.",premise,premise
"The focus really for our messaging products is to continue to drive user growth and continue to build great products that are fast, useful, engaging and fun.",claim,claim
That’s in the KPI Windows commercial products and services.,premise,claim
It's having the right product lineup for the market.,premise,claim
"But we do plan to continue to invest aggressively in the priority areas, including on the innovation side with AR/VR and AI and continuing to invest in the safety and security programs that we're undergoing.",claim,claim
"On the rest of the P&L, there again we have, I believe some of the best infrastructure people in the industry.",claim,claim
We see that tied to the Prime growth and the adoption of Prime and success of that program.,claim,premise
And that needs to be taken into account in our guidance.,claim,claim
"Man in the High Castle is coming out shortly, as is the second season of Transparent which won Emmys this year.",premise,claim
"And if you remember, we quoted the same number a quarter ago and we talked about 150 million.",premise,premise
"And I do think that's important, Keith, in terms of the innovation and the value.",claim,claim
I see a lot of similarities to where China was several years ago.,premise,claim
"So to the extent that video can serve as a touchstone for building community and helping facilitate interaction, then that's the thing that we feel like we can uniquely do.",premise,claim
"And then on top of that whole ecosystem, we then had the opportunity to build what has turned into a News Feed business that we're really proud of, right.",premise,claim
"And then we're working hard to build products that work, in-store visits, and then to use simplified ad products that convert them over to advertising.",premise,claim
"And on Whole Foods, yes, I believe the total is 465 stores or thereabouts.",premise,claim
"One thing that I would cite there, it's just how we manage ad load and balance some of our internal promotion units and sort of use it as internal house spend and the nature of the changes that we made in that had a more pronounced impact in some of the lower ARPU countries and unlocked more impression growth in those markets.",premise,claim
"So the playbook is going to be work on getting the basics right, make sure that we have safety rights from the beginning.",claim,claim
It should also impact our need and our timing of capital.,claim,claim
"I would tell you that the way we look at this is in a quarter where you have a supply constraint, it's difficult to draw too many conclusions from it.",claim,claim
There's tons of things on our roadmap of adding functionality to it.,premise,premise
"But what our goals there are to be helpful to customers and enhance their shopping and viewing experiences, mostly with targeted recommendations.",claim,claim
"When you look at our overall growth, our growth is very broad-based.",claim,premise
"So that’s how Windows will differentiate and not to mention, our Gaming and Xbox Live experiences.",premise,claim
"And we found that these have generally encouraged more interaction or positives,",premise,claim
"If you're a large company or a small company, you can buy Facebook.",premise,claim
"So we'll have 11 games in 2018 and 2019, be able to deliver that to over 100 million Prime members globally, which is a great continuation of the partnership we've had with the NFL.",claim,claim
"So we've made a lot of shift this year, which I've talked a lot about on a bunch of these calls, to encourage more meaningful social interactions instead.",claim,claim
"I think with Office 365, we are trying to expand the appeal of Office 365 on multiple dimensions.",claim,claim
"That roadmap, we know that those devices drive customer engagement and sales.",premise,claim
